Anúncio	Nome da despesa	Ano_mês_ref	Valor despesa	Reserva
Andorinhas	Taxa ADM	2024/07	R$ 89,19	KS02I
Andorinhas	IPTU	2024/07	R$ 237,48
Andorinhas	Ar condicionado	2024/07	R$ 696,28
Andorinhas	Condomínio	2024/07	R$ 671,18
Andorinhas	Energia elétrica	2024/07	R$ 87,17
Andorinhas	Internet Claro	2024/07	R$ 109,44
Andorinhas	Despesa extra	2024/07	R$ 17,50
Andorinhas	Limpeza	2024/08	R$ 170,00	LM37I
Andorinhas	Taxa ADM	2024/08	R$ 182,21	LM37I
Andorinhas	IPTU	2024/08	R$ 237,48
Andorinhas	Condomínio	2024/08	R$ 671,18
Andorinhas	Energia elétrica	2024/08	R$ 0,00
Andorinhas	Internet Claro	2024/08	R$ 119,74
Andorinhas	Despesa extra	2024/08	R$ 45,95
Andorinhas	Limpeza	2024/09	R$ 170,00	MI13I
Andorinhas	Taxa ADM	2024/09	R$ 60,36	MI13I
Andorinhas	IPTU	2024/09	R$ 237,48
Andorinhas	Condomínio	2024/09	R$ 671,18
Andorinhas	Energia elétrica	2024/09	R$ 120,37
Andorinhas	Internet Claro	2024/09	R$ 119,74
Andorinhas	Condomínio	2024/10	R$ 671,18
Andorinhas	Energia elétrica	2024/10	R$ 120,37
Andorinhas	Internet Claro	2024/10	R$ 119,74
Andorinhas	Gás	2024/10	R$ 134,00
Andorinhas	IPTU	2024/11	R$ 237,48
Andorinhas	Condomínio	2024/11	R$ 671,18
Andorinhas	Energia elétrica	2024/11	R$ 120,37
Andorinhas	Internet Claro	2024/11	R$ 119,74
Andorinhas	IPTU	2024/12	R$ 237,48
Andorinhas	Condomínio	2024/12	R$ 671,18
Andorinhas	Energia elétrica	2024/12	R$ 195,95
Andorinhas	Internet Claro	2024/12	R$ 119,74
Andorinhas	Dízimo	2025/01	R$ 978,60
Andorinhas	Desconto hóspede	2025/01	R$ 130,80
Andorinhas	Gás	2025/01	R$ 135,00
Andorinhas	IPTU	2025/01	R$ 247,10
Andorinhas	Condomínio	2025/01	R$ 671,18
Andorinhas	Energia elétrica	2025/01	R$ 384,59
Andorinhas	Internet Claro	2025/01	R$ 119,40
Andorinhas	Manutenção/Reforma	2025/02	R$ 240,00
Andorinhas	IPTU	2025/02	R$ 247,10
Andorinhas	Dízimo	2025/02	R$ 761,00
Andorinhas	Condomínio	2025/02	R$ 715,54
Andorinhas	Energia elétrica	2025/02	R$ 333,98
Andorinhas	Internet Claro	2025/02	R$ 119,40
Andorinhas	IPTU	2025/03	R$ 247,10
Andorinhas	Dízimo	2025/03	R$ 166,00
Andorinhas	Condomínio	2025/03	R$ 703,16
Andorinhas	Energia elétrica	2025/03	R$ 326,11
Andorinhas	Internet Claro	2025/03	R$ 119,40
Andorinhas	IPTU	2025/04	R$ 247,10
Ondomingos	Ar condicionado	2025/04	R$ 1.653,20
Andorinhas	Condomínio	2025/04	R$ 703,16
Ondomingos	Condomínio	2025/04	R$ 503,92
Andorinhas	Energia elétrica	2025/04	R$ 366,14
Andorinhas	Internet Claro	2025/04	R$ 119,40
Andorinhas	Dízimo	2025/04	R$ 304,00
Andorinhas	IPTU	2025/05	R$ 247,10
Andorinhas	Condomínio	2025/05	R$ 703,16
Andorinhas	Energia elétrica	2025/05	R$ 216,83
Andorinhas	Internet Claro	2025/05	R$ 119,40
Andorinhas	Dízimo	2025/05	R$ 527,01
Ondomingos	Ar condicionado	2025/05	R$ 1.653,20
Ondomingos	Condomínio	2025/05	R$ 608,53
Andorinhas	Condomínio	2025/05	R$ 703,16
